danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,playlist_genre
0.533,0.703,2,-6.364,1,0.0423,0.184,0,0.101,0.612,128.761,186093,rock
0.66,0.947,0,-7.578,1,0.0707,0.0367,0.0316,0.419,0.783,122.993,201110,edm
0.812,0.666,1,-7.1,1,0.0485,0.000341,0.862,0.12,0.178,125.015,485760,edm
0.654,0.887,1,-1.998,1,0.115,0.0588,0.000103,0.0849,0.691,134.998,270222,edm
0.605,0.903,7,-4.543,1,0.0637,0.188,0.00814,0.0989,0.55,120.041,307653,edm
0.762,0.562,0,-8.648,0,0.0363,0.08,0,0.0806,0.683,101.965,197653,latin
0.58,0.953,5,-3.856,1,0.0614,0.00261,0,0.218,0.673,103.041,276320,latin
0.453,0.906,9,-4.001,1,0.115,0.361,0.000569,0.26,0.473,137.575,296200,rock
0.625,0.758,5,-6.213,0,0.0463,0.512,0.00022,0.153,0.695,119.719,251253,rock
0.789,0.881,11,-5.758,1,0.0331,0.108,0,0.355,0.647,133.301,236600,rap
0.606,0.658,2,-9.856,1,0.229,0.000031,0.918,0.336,0.442,127.933,397853,edm
0.727,0.781,5,-8.614,1,0.29,0.103,0,0.0537,0.682,81.076,263720,rap
0.402,0.502,2,-10.009,0,0.0315,0.0702,0.000064,0.115,0.209,147.519,374187,rock
0.746,0.717,0,-7.543,1,0.0438,0.00834,0,0.116,0.175,116.038,164885,latin
0.57,0.672,8,-5.89,0,0.0723,0.177,0,0.0768,0.448,120.019,208222,edm
0.557,0.656,11,-7.587,0,0.0309,0.123,0.276,0.0971,0.801,207.883,349520,rock
0.621,0.943,7,-2.972,1,0.054,0.00258,0.859,0.0387,0.296,127.99,272483,edm
0.557,0.723,1,-4.894,0,0.0292,0.00923,0.0103,0.163,0.237,160.076,202675,edm
0.746,0.615,9,-6.325,0,0.0283,0.208,0.0107,0.0752,0.8,93.003,200520,pop
0.644,0.57,9,-6.994,1,0.052,0.484,0,0.299,0.527,113.945,212424,edm
0.573,0.739,0,-5.74,1,0.129,0.0285,0,0.111,0.451,97.085,230227,pop
0.661,0.796,10,-5.513,0,0.154,0.143,0,0.276,0.472,128.073,165010,edm
0.594,0.722,4,-5.751,0,0.0398,0.0156,0,0.0667,0.407,127.877,200322,pop
0.772,0.581,10,-6.903,1,0.249,0.34,0,0.123,0.702,149.816,222852,rap
0.796,0.438,1,-11.137,1,0.349,0.477,0.000086,0.215,0.319,127.025,124714,rap
0.692,0.662,5,-4.688,0,0.0393,0.355,0,0.184,0.854,119.913,190200,pop
0.714,0.626,5,-4.655,0,0.423,0.26,0,0.284,0.512,76.625,315440,latin
0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,176561,edm
0.604,0.851,10,-7.593,0,0.0405,0.00136,0.000228,0.167,0.144,127.97,214224,edm
0.399,0.573,10,-9.44,1,0.0253,0.0293,0.000028,0.0914,0.649,147.114,429933,rock
0.469,0.968,1,-1.899,1,0.281,0.0107,0.0486,0.222,0.396,150.108,191600,edm
0.767,0.667,2,-8.165,1,0.322,0.278,0,0.109,0.858,94.341,206106,rap
0.586,0.795,11,-8.71,1,0.258,0.354,0,0.187,0.694,94.101,314600,rap
0.66,0.836,6,-12.324,1,0.0468,0.0438,0.0991,0.428,0.898,104.588,273240,rock
0.638,0.924,7,-3.887,1,0.0359,0.00205,0.000173,0.149,0.529,111.995,263787,pop
0.73,0.828,4,-2.993,0,0.217,0.0629,0,0.235,0.677,82.092,202667,rap
0.645,0.76,5,-4.563,0,0.0487,0.00707,0.243,0.796,0.329,127.998,192197,edm
0.668,0.971,5,-1.881,1,0.145,0.00432,0.605,0.0477,0.543,126.979,201732,edm
0.62,0.398,2,-15.676,1,0.0303,0.556,0.000007,0.273,0.677,106.265,166600,rock
0.838,0.545,5,-6.713,1,0.0706,0.208,0.00008,0.103,0.631,114.998,220590,pop
0.71,0.779,4,-6.954,0,0.0472,0.158,0,0.0997,0.366,129.093,249302,rap
0.655,0.606,7,-10.385,1,0.0285,0.0603,0.0789,0.0757,0.765,110.061,291686,rock
0.347,0.974,4,-5.258,0,0.0437,0.000033,0.0551,0.344,0.574,152.017,147067,rock
0.603,0.872,5,-5.404,0,0.0792,0.0213,0,0.366,0.691,150.104,206373,pop
0.818,0.707,7,-5.547,0,0.226,0.164,0,0.33,0.307,92.995,240027,latin
0.554,0.815,1,-12.481,1,0.0409,0.0111,0.0486,0.0511,0.6,90.889,295333,rock
0.586,0.7,0,-9.558,1,0.0363,0.0589,0.00125,0.0318,0.897,147.245,295400,rock
0.828,0.588,2,-7.14,1,0.118,0.0156,0,0.124,0.598,94.052,224681,latin
0.585,0.77,3,-4.604,1,0.0396,0.0227,0.000006,0.0692,0.393,122.987,231453,pop
0.751,0.786,3,-7.441,0,0.383,0.0126,0,0.107,0.679,95.989,200840,rap
0.636,0.846,2,-3.623,0,0.0293,0.0513,0.00155,0.207,0.585,140.06,157705,edm
0.796,0.926,6,-4.925,0,0.0401,0.0027,0,0.0599,0.458,126.03,173333,edm
0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,204600,pop
0.764,0.617,9,-6.217,0,0.257,0.295,0,0.182,0.89,90.967,224292,latin
0.884,0.657,6,-4.569,0,0.0977,0.00589,0,0.154,0.489,107.059,234693,pop
0.429,0.553,1,-4.838,0,0.0669,0.458,0,0.0766,0.382,97.954,192456,pop
0.647,0.451,8,-9.075,1,0.0748,0.487,0.000002,0.105,0.48,147.847,232893,latin
0.909,0.472,6,-8.298,0,0.114,0.332,0.000442,0.153,0.545,111.009,177838,pop
0.821,0.819,1,-3.627,1,0.0272,0.0104,0.000055,0.145,0.893,126.03,200347,latin
0.604,0.796,1,-2.416,0,0.0597,0.0126,0,0.106,0.225,127.991,200625,edm
0.774,0.521,7,-13.31,0,0.056,0.145,0.382,0.114,0.537,122.991,247218,edm
0.431,0.991,6,-6.347,1,0.119,0.0411,0.135,0.421,0.26,138.983,287907,rock
0.593,0.896,5,-3.339,1,0.0619,0.0832,0.00245,0.245,0.336,127.956,222459,edm
0.483,0.892,5,-6.378,0,0.0793,0.416,0.00001,0.121,0.839,179.315,225493,latin
0.796,0.654,6,-6.26,0,0.349,0.0511,0.00297,0.116,0.215,125.088,215178,edm
0.79,0.728,2,-9.221,1,0.391,0.366,0,0.112,0.403,96.978,265493,rap
0.69,0.786,2,-2.959,1,0.0692,0.229,0,0.0797,0.583,100.049,263173,pop
0.42,0.687,9,-7.466,1,0.0288,0.000499,0.000002,0.315,0.34,164.044,235338,rock
0.713,0.798,1,-3.147,1,0.219,0.366,0.000004,0.246,0.721,176.073,221103,rap
0.924,0.782,10,-4.55,0,0.0816,0.246,0,0.0659,0.745,95.01,204347,latin
0.382,0.809,10,-4.751,0,0.0512,0.00834,0,0.134,0.41,159.836,237500,edm
0.599,0.887,4,-3.967,1,0.0984,0.0192,0.000001,0.3,0.881,170.918,193837,edm
0.37,0.823,2,-6.245,1,0.0805,0.00234,0.000002,0.174,0.323,128.008,195480,pop
0.406,0.88,5,-5.564,1,0.0712,0.0183,0,0.0733,0.383,123.416,160749,edm
0.617,0.762,0,-6.756,0,0.0763,0.00277,0,0.434,0.334,122.914,218747,pop
0.71,0.497,7,-12.858,0,0.0272,0.126,0.000017,0.142,0.766,132.96,340507,pop
0.355,0.789,5,-4.358,0,0.165,0.0148,0,0.0355,0.169,80.444,237686,edm
0.629,0.901,7,-3.715,1,0.36,0.378,0,0.296,0.543,177.162,235360,latin
0.688,0.62,11,-8.029,0,0.22,0.753,0.000005,0.158,0.727,170.018,360960,latin
0.28,0.977,11,-5.488,1,0.127,0.0232,0.0158,0.138,0.475,100.409,406200,rock
0.685,0.648,11,-3.536,0,0.149,0.812,0.0019,0.21,0.389,122.599,215938,rap
0.713,0.695,1,-7.886,0,0.032,0.0181,0.000002,0.0703,0.593,122.152,159480,latin
0.58,0.799,10,-6.318,0,0.398,0.403,0.0339,0.405,0.791,69.401,99000,rap
0.308,0.873,8,-4.542,1,0.0533,0.00022,0.000729,0.0974,0.686,143.519,206587,rock
0.627,0.902,0,-1.478,0,0.0893,0.00103,0.00347,0.0439,0.34,127.997,390000,edm
0.724,0.813,11,-4.447,1,0.0346,0.0327,0.0104,0.0497,0.51,125.997,173338,edm
0.564,0.874,11,-2.973,0,0.0395,0.0423,0.0901,0.105,0.402,149.996,168000,edm
0.701,0.7,8,-6.634,1,0.0766,0.36,0.000029,0.165,0.432,99.954,218670,pop
0.736,0.848,5,-5.242,1,0.102,0.278,0,0.0854,0.69,94.959,184467,latin
0.611,0.758,6,-6.431,0,0.0379,0.00207,0.0411,0.129,0.445,100.998,310685,pop
0.826,0.503,0,-14.005,1,0.0872,0.0415,0.878,0.0955,0.643,127.986,153750,edm
0.767,0.738,2,-7.336,0,0.0405,0.00542,0.000502,0.226,0.271,105.021,170256,latin
0.72,0.824,6,-4.887,1,0.0275,0.0259,0.000027,0.309,0.572,101,218600,pop
0.63,0.459,2,-9.965,0,0.0349,0.0877,0.495,0.0985,0.0719,119.985,192000,pop
0.725,0.903,0,-2.955,1,0.0658,0.0344,0,0.183,0.946,142.006,211680,latin
0.639,0.865,1,-5.01,1,0.0357,0.00462,0.000001,0.208,0.611,124.01,213000,edm
0.592,0.397,2,-10.81,0,0.0676,0.354,0.000894,0.119,0.205,150.038,185293,rock
0.345,0.531,0,-12.708,1,0.0305,0.00642,0.000007,0.14,0.49,176.302,313693,rock
0.755,0.604,2,-9.84,0,0.0454,0.183,0.0336,0.128,0.491,97.8,235200,rock
0.688,0.762,7,-7.166,1,0.0435,0.0195,0.0556,0.129,0.515,94.189,410147,rock
0.602,0.965,10,-0.959,1,0.074,0.000269,0.00202,0.0859,0.215,128.14,196875,edm
0.655,0.463,0,-7.881,1,0.0432,0.452,0,0.106,0.644,78.55,305732,rap
0.597,0.289,11,-11.987,0,0.0355,0.789,0,0.134,0.341,135.166,199693,rock
0.837,0.784,1,-4.576,0,0.159,0.0371,0.000407,0.0999,0.55,97.884,240813,rap
0.68,0.413,8,-9.41,1,0.492,0.177,0,0.205,0.384,158.58,321697,pop
0.691,0.762,11,-6.47,0,0.0367,0.462,0.0286,0.0804,0.957,128.111,187533,rock
0.746,0.974,8,-2.416,0,0.149,0.00534,0.00592,0.309,0.402,125.032,201577,edm
0.706,0.947,1,-4.654,1,0.182,0.0176,0.598,0.0529,0.298,99.976,202933,rap
0.714,0.828,3,-4.663,1,0.0598,0.00514,0.154,0.32,0.208,124.034,150968,edm
0.755,0.74,8,-5.644,0,0.309,0.125,0,0.333,0.325,136.56,145450,latin
0.835,0.552,7,-5.662,1,0.0871,0.0474,0,0.0767,0.531,97.004,218173,pop
0.502,0.417,10,-7.665,1,0.0718,0.127,0.00419,0.106,0.218,180.301,281040,rock
0.704,0.793,8,-2.266,1,0.0591,0.0488,0,0.575,0.412,127.96,199680,pop
0.759,0.682,5,-6.34,0,0.041,0.0573,0,0.106,0.466,108.941,182053,pop
0.784,0.543,6,-9.769,1,0.272,0.0588,0.000053,0.255,0.451,108.982,150200,rap
0.616,0.992,7,-1.566,1,0.0711,0.000481,0.0849,0.0829,0.189,127.979,144492,edm
0.598,0.856,9,-6.204,0,0.306,0.219,0,0.291,0.779,173.929,272627,rap
0.59,0.538,0,-7.556,1,0.0435,0.142,0,0.137,0.146,145.111,191312,edm
0.814,0.798,10,-7.748,0,0.227,0.0456,0,0.191,0.629,105.001,184160,latin
0.162,0.867,0,-7.18,1,0.092,0.256,0.000034,0.682,0.499,174.851,505240,rock
0.54,0.724,4,-5.276,0,0.28,0.00621,0,0.381,0.184,149.793,224170,rap
0.87,0.614,6,-9.892,0,0.259,0.446,0.00035,0.0911,0.804,95.016,196480,latin
0.691,0.873,5,-8.758,0,0.0382,0.33,0.000002,0.0362,0.916,93.685,251253,latin
0.521,0.902,11,-4.56,0,0.0624,0.0153,0.000011,0.649,0.136,112.522,167200,edm
0.652,0.977,9,-5.705,1,0.036,0.114,0.936,0.358,0.654,123.987,238030,edm
0.397,0.575,5,-8.509,1,0.0407,0.0222,0.00007,0.197,0.247,220.252,271789,latin
0.711,0.826,0,-3.371,1,0.123,0.297,0,0.272,0.649,87.023,246107,rap
0.537,0.794,4,-7.943,0,0.0521,0.00134,0.000941,0.283,0.513,166.41,287053,rock
0.741,0.523,0,-10.854,1,0.0864,0.838,0.908,0.172,0.739,89.968,170785,latin
0.774,0.782,6,-4.906,0,0.14,0.623,0.19,0.121,0.665,90.831,191782,pop
0.822,0.786,5,-7.87,0,0.117,0.000757,0,0.0797,0.58,114.95,183467,pop
0.831,0.783,5,-6.719,1,0.0527,0.079,0.000001,0.35,0.771,140.046,218440,rap
0.492,0.805,7,-5.425,1,0.329,0.01,0,0.272,0.264,93.694,232600,rap
0.574,0.26,6,-15.35,0,0.0372,0.425,0.000004,0.163,0.305,73.003,217547,pop
0.758,0.627,5,-7.264,0,0.392,0.79,0,0.115,0.258,96.87,174538,rap
0.911,0.719,8,-5.312,1,0.118,0.233,0.00079,0.599,0.355,103.043,153699,latin
0.807,0.643,10,-7.347,0,0.0522,0.0707,0.000056,0.0865,0.821,94.983,199368,latin
0.762,0.565,7,-5.789,0,0.31,0.119,0,0.318,0.553,84.997,230240,rap
