,playlist_genre,z_i_danceability,z_i_energy,z_i_key,z_i_loudness,z_i_mode,z_i_speechiness,z_i_acousticness,z_i_instrumentalness,z_i_liveness,z_i_valence,z_i_tempo,z_i_duration_ms,z_i_playlist_genre
0,rock,0.5422177,0.702948,0.1818182,0.8399304,1.0,0.0482326,0.1851107,0.0,0.1014056,0.617558,0.5846076,0.3543975,0.1666667
1,edm,0.671414,0.9469907,0.0,0.814492,1.0,0.0806157,0.0369215,0.0317907,0.4206827,0.790111,0.5584194,0.3836243,0.8333333
2,edm,0.8260427,0.6659415,0.0909091,0.8245081,1.0,0.0553022,0.0003431,0.8672032,0.1204819,0.1796165,0.5675998,0.9376229,0.8333333
3,edm,0.6653103,0.8869802,0.0909091,0.9314167,1.0,0.1311288,0.0591549,0.0001036,0.085241,0.6972755,0.6129252,0.5181332,0.8333333
4,edm,0.6154629,0.902983,0.6363636,0.8780881,1.0,0.072634,0.1891348,0.0081891,0.0992972,0.554995,0.5450166,0.590983,0.8333333
5,latin,0.775178,0.5619233,0.0,0.7920709,0.0,0.0413911,0.0804829,0.0,0.0809237,0.6892028,0.462947,0.3768961,0.6666667
6,latin,0.5900305,0.9529918,0.4545455,0.8924837,1.0,0.0700114,0.0026258,0.0,0.2188755,0.679112,0.4678323,0.5300014,0.6666667
7,rock,0.4608342,0.9059835,0.8181818,0.8894453,1.0,0.1311288,0.3631791,0.0005724,0.2610442,0.4772957,0.6246254,0.5686927,0.1666667
8,rock,0.6358087,0.7579576,0.4545455,0.8430945,0.0,0.0527936,0.5150905,0.0002213,0.1536145,0.7013118,0.5435547,0.4812148,0.1666667
9,rap,0.802645,0.8809792,1.0,0.8526287,1.0,0.0377423,0.1086519,0.0,0.3564257,0.6528759,0.6052204,0.4526965,0.3333333
10,edm,0.6164802,0.6579401,0.1818182,0.7667582,1.0,0.2611174,3.12e-05,0.9235412,0.3373494,0.4460141,0.5808483,0.7665343,0.8333333
11,rap,0.7395727,0.7809617,0.4545455,0.7927834,1.0,0.3306727,0.1036217,0.0,0.0539157,0.6881937,0.3681056,0.5054787,0.3333333
12,rock,0.4089522,0.5019128,0.1818182,0.7635522,0.0,0.0359179,0.0706237,6.44e-05,0.1154618,0.2108981,0.6697737,0.7204745,0.1666667
13,latin,0.7589013,0.7169505,0.0,0.8152254,1.0,0.049943,0.0083903,0.0,0.1164659,0.1765893,0.526842,0.3131216,0.6666667
14,edm,0.5798576,0.6719426,0.7272727,0.8498627,0.0,0.0824401,0.1780684,0.0,0.0771084,0.4520686,0.5449167,0.397466,0.8333333
15,rock,0.5666328,0.6559398,1.0,0.8143034,0.0,0.0352338,0.1237425,0.277666,0.09749,0.8082745,0.9438416,0.6724665,0.1666667
16,edm,0.6317396,0.94299,0.6363636,0.9110073,1.0,0.0615735,0.0025956,0.8641851,0.0388554,0.2986882,0.5811071,0.5225336,0.8333333
17,edm,0.5666328,0.7229515,0.0909091,0.8707332,0.0,0.0332953,0.0092857,0.0103622,0.1636546,0.2391524,0.7267857,0.3866702,0.8333333
18,pop,0.7589013,0.6149326,0.8181818,0.8407476,0.0,0.0322691,0.2092555,0.0107646,0.075502,0.8072654,0.4222572,0.382476,0.5
19,edm,0.6551373,0.5699247,0.8181818,0.8267293,1.0,0.059293,0.4869215,0.0,0.3002008,0.5317861,0.5173392,0.4056441,0.8333333
20,pop,0.5829095,0.7389543,0.0,0.8530059,1.0,0.1470924,0.028672,0.0,0.1114458,0.4550959,0.4407905,0.4402931,0.5
21,edm,0.6724313,0.7959643,0.9090909,0.8577625,0.0,0.1755986,0.1438632,0.0,0.2771084,0.4762866,0.5814839,0.3133649,0.8333333
